Item Name,Hash Name,URL,Hero ID,Data Available
Golden Staff of Perplex,Golden%20Staff%20of%20Perplex,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Staff%20of%20Perplex,86,True
Concord Reversion,Concord%20Reversion,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Concord%20Reversion,12,True
Focal Resonance,Focal%20Resonance,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Focal%20Resonance,46,True
Vigil Triumph,Vigil%20Triumph,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Vigil%20Triumph,18,True
Crimson Cyrridae,Crimson%20Cyrridae,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Crimson%20Cyrridae,64,True
Geodesic Eidolon,Geodesic%20Eidolon,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Geodesic%20Eidolon,33,True
Shadow in the Deep Armor,Shadow%20in%20the%20Deep%20Armor,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Shadow%20in%20the%20Deep%20Armor,93,True
Bracers of the Cavern Luminar,Bracers%20of%20the%20Cavern%20Luminar,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Bracers%20of%20the%20Cavern%20Luminar,7,True
Iron Surge,Iron%20Surge,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Iron%20Surge,71,True
Avowance of the Crimson Witness,Avowance%20of%20the%20Crimson%20Witness,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Avowance%20of%20the%20Crimson%20Witness,44,True
Daughters of Hydrophiinae,Daughters%20of%20Hydrophiinae,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Daughters%20of%20Hydrophiinae,93,True
First of the Flood,First%20of%20the%20Flood,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=First%20of%20the%20Flood,28,True
Basher of Mage Skulls,Basher%20of%20Mage%20Skulls,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Basher%20of%20Mage%20Skulls,1,True
Colar of the Ardalan Interdictor,Colar%20of%20the%20Ardalan%20Interdictor,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Colar%20of%20the%20Ardalan%20Interdictor,35,True
Alluvion Prophecy,Alluvion%20Prophecy,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Alluvion%20Prophecy,111,True
Lycosidae's Favor,Lycosidae%27s%20Favor,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Lycosidae%27s%20Favor,61,True
Rollermawster,Rollermawster,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Rollermawster,34,True
Chaos Fulcrum,Chaos%20Fulcrum,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Chaos%20Fulcrum,81,True
Cauldron of Xahryx,Cauldron%20of%20Xahryx,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Cauldron%20of%20Xahryx,80,True
Crimson Censer of Gliss,Crimson%20Censer%20of%20Gliss,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Crimson%20Censer%20of%20Gliss,27,True
Mournful Reverie,Mournful%20Reverie,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Mournful%20Reverie,20,True
Provocation of Ruin Bracers,Provocation%20of%20Ruin%20Bracers,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Provocation%20of%20Ruin%20Bracers,8,True
Shatterblast Crown,Shatterblast%20Crown,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Shatterblast%20Crown,68,True
Golden Nothlic Burden,Golden%20Nothlic%20Burden,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Nothlic%20Burden,50,True
Taunt: RazorFlip!,Taunt%3A%20RazorFlip%21,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Taunt%3A%20RazorFlip%21,93,True
Twilight Schism,Twilight%20Schism,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Twilight%20Schism,48,True
Golden Basher of Mage Skulls,Golden%20Basher%20of%20Mage%20Skulls,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Basher%20of%20Mage%20Skulls,1,True
Insight of Forlorn Precipice of the Crimson Witness,Insight%20of%20Forlorn%20Precipice%20of%20the%20Crimson%20Witness,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Insight%20of%20Forlorn%20Precipice%20of%20the%20Crimson%20Witness,55,True
Edge of the Lost Order,Edge%20of%20the%20Lost%20Order,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Edge%20of%20the%20Lost%20Order,8,True
Malefic Drake's Hood of the Crimson Witness,Malefic%20Drake%27s%20Hood%20of%20the%20Crimson%20Witness,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Malefic%20Drake%27s%20Hood%20of%20the%20Crimson%20Witness,47,True
Fate of Hydrophiinae of the Crimson Witness,Fate%20of%20Hydrophiinae%20of%20the%20Crimson%20Witness,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Fate%20of%20Hydrophiinae%20of%20the%20Crimson%20Witness,94,True
Golden Full-Bore Bonanza,Golden%20Full-Bore%20Bonanza,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Full-Bore%20Bonanza,35,True
Crown of Tears,Crown%20of%20Tears,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Crown%20of%20Tears,10,True
Resistive Pinfold,Resistive%20Pinfold,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Resistive%20Pinfold,87,True
The Spoils of Dezun,The%20Spoils%20of%20Dezun,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=The%20Spoils%20of%20Dezun,59,True
Atomic Ray Thrusters,Atomic%20Ray%20Thrusters,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Atomic%20Ray%20Thrusters,72,True
Concord Dominion,Concord%20Dominion,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Concord%20Dominion,12,True
Jewel of Aeons,Jewel%20of%20Aeons,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Jewel%20of%20Aeons,41,True
Golden Fin of the First Spear,Golden%20Fin%20of%20the%20First%20Spear,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Fin%20of%20the%20First%20Spear,28,True
Golden Sullen Hollow,Golden%20Sullen%20Hollow,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Sullen%20Hollow,36,True
Paragon's Rebuke,Paragon%27s%20Rebuke,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Paragon%27s%20Rebuke,57,True
Colossal Crystal Chorus,Colossal%20Crystal%20Chorus,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Colossal%20Crystal%20Chorus,82,True
Golden Rectifier,Golden%20Rectifier,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Rectifier,98,True
Vigil Signet,Vigil%20Signet,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Vigil%20Signet,18,True
Paragon's Pride Bundle,Paragon%27s%20Pride%20Bundle,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Paragon%27s%20Pride%20Bundle,57,True
